************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
************************************************
*        0 *         0 *         0 *         0 *
*        1 *         1 *         0 *         0 *
*        2 *         2 * 0.6901850 *         0 *
*        3 *         3 *         0 *         0 *
*        4 *         4 * 9.1192478 *         0 *
*        5 *         5 * 5.3101162 *         0 *
*        6 *         6 *         0 * 6.9646457 *
*        7 *         7 * 4.6010388 *         0 *
*        8 *         8 * 10.104171 *         0 *
*        9 *         9 * 1.8501677 *         0 *
*       10 *        10 * 3.8001386 *         0 *
*       11 *        11 * 1.0742661 *         0 *
*       12 *        12 * 5.5049138 *         0 *
*       13 *        13 * 0.0174288 * 6.8194135 *
*       14 *        14 * 5.9820153 *         0 *
*       15 *        15 * 4.0868146 * 6.4635834 *
*       16 *        16 * 9.2800566 *         0 *
*       17 *        17 * 6.9546477 *         0 *
*       18 *        18 * 0.2211196 *         0 *
*       19 *        19 * 8.0563846 *         0 *
*       20 *        20 *         0 *         0 *
*       21 *        21 * 7.4085409 *         0 *
*       22 *        22 *         0 * 5.6678463 *
*       23 *        23 *         0 *         0 *
*       24 *        24 * 5.3127105 *         0 *
*       25 *        25 *         0 * 7.5454428 *
*       26 *        26 * 2.4701584 *         0 *
*       27 *        27 * 4.2901313 *         0 *
*       28 *        28 * 5.3819126 *         0 *
*       29 *        29 * 5.0174471 * 2.6826334 *
*       30 *        30 * 7.4683410 *         0 *
*       31 *        31 *         0 * 4.5101279 *
*       32 *        32 *         0 * 2.5888630 *
*       33 *        33 * 9.9400468 *         0 *
*       34 *        34 * 4.7426057 *         0 *
*       35 *        35 * 10.976779 *         0 *
*       36 *        36 * 0.1153270 * 2.7200954 *
*       37 *        37 *         0 * 5.0404772 *
*       38 *        38 * 2.1493817 *         0 *
*       39 *        39 *         0 * 8.4543460 *
*       40 *        40 *         0 * 7.6000820 *
*       41 *        41 * 1.5201727 *         0 *
*       42 *        42 * 10.857671 *         0 *
*       43 *        43 * 7.7278675 *         0 *
*       44 *        44 *         0 * 5.9801059 *
*       45 *        45 *         0 * 5.7801093 *
*       46 *        46 * 2.2901611 *         0 *
*       47 *        47 *         0 *         0 *
*       48 *        48 * 3.9801359 *         0 *
*       49 *        49 *         0 * 9.5900527 *
*       50 *        50 * 9.1987977 *         0 *
*       51 *        51 * 6.6600961 *         0 *
*       52 *        52 * 1.2540250 * 3.3427486 *
*       53 *        53 * 7.1598509 *         0 *
*       54 *        54 * 2.9201518 *         0 *
*       55 *        55 * 0.7099407 * 5.1901667 *
*       56 *        56 * 4.2001328 *         0 *
*       57 *        57 *         0 * 5.1963569 *
*       58 *        58 * 7.4700839 *         0 *
*       59 *        59 * 4.0201355 *         0 *
